No.,도서관 구분,도서관명,이용시간,휴관일,전화번호,홈페이지,자치구,주소,책이음,수정일
2169,작은 도서관,신내종합사회복지관맘편한공부방,"평일 : 09:00~18:00, 주말 : 09:00~13:00","일,공휴일",02-3421-3400,,중랑구,"서울특별시 중랑구 봉화산로 153(상봉동, 신내12단지신내아파트) 3층",미참여,
1437,작은 도서관,신내지혜담은도서관,"평일 : 13:00~22:00, 주말 : 휴관일","토,일요일",02-3421-3939,http://blog.naver.com/plusshow,중랑구,서울특별시 중랑구 봉화산로 194 신아타운 4층 4층,미참여,
2619,작은 도서관,신당5동작은도서관,"평일 : 10:00~21:00, 주말 : 10:00~14:00(토)","일,법정공휴일",02-2253-4901,www.e-junggulib.or.kr,중구,서울특별시 중구 퇴계로 90길 42 경로당 2층,미참여,
2715,공공 도서관,신당누리도서관,"평일 : 09:00~22:00, 주말 : 09:00~18:00","매주일요일, 법정공휴일, 임시공휴일",02-2230-2960,http://www.e-junggulib.or.kr,중구,서울특별시 중구 다산로 33길 3 1층,미참여,2021-08-28
2620,작은 도서관,신당동작은도서관,"평일 : 10:00~21:00, 주말 : 10:00~14:00(토)","일,법정공휴일",02-2254-1212,www.e-junggulib.or.kr,중구,"서울특별시 중구 다산로 29길 10 신당1동 노인복지관 2,3층",미참여,
451,작은 도서관,신대방1동작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","매주 토요일, 일요일",02-820-2811,http://lib.dongjak.go.kr/,동작구,"서울특별시 동작구 신대방길 72, (신대방동) 신대방1동주민센터 주민센터 내",참여,
452,작은 도서관,신대방2동작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","매주 토요일, 일요일",02-820-2826,http://lib.dongjak.go.kr/,동작구,"서울특별시 동작구 여의대방로24길 106, (신대방동) 신대방2동주민센터 2층 층",참여,
2457,작은 도서관,신도림3차 동아아파트 작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 공휴일",02-2633-7846,www.smalllibrary.org,구로구,서울특별시 구로구 신도림로 78 관리사무소 2층,미참여,
2458,작은 도서관,신도림4차마을문고,"평일 : 14:00~18:00, 주말: 10:00~13:00","일요일, 법정공휴일",02-2069-1250,,구로구,서울특별시 구로구 경인로65길 16-15 신도림4차 e편한세상 관리실 옆,참여,2021-01-14
300,작은 도서관,신도림동새마을작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-2620-7841,http://lib.guro.go.kr,구로구,서울특별시 구로구 신도림로 40 신도림동주민센터 신도림동 주민자치센터 2층,참여,
1504,작은 도서관,신도림어린이영어작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~17:00",화요일,02-2069-0185,lib.guro.go.kr,구로구,서울특별시 구로구 신도림로 40 신도림동주민센터 신도림동주민센터2층,참여,
1861,작은 도서관,신도림월드메르디앙,"평일 : 09:00~18:00, 주말 : 09:00~18:00",,02-2671-5568,,구로구,서울특별시 구로구 신도림로 65,미참여,
328,작은 도서관,신도림현대도서관,"평일 : 18:00~19:00, 주말 : 휴관일",화요일만 운영,02-869-3973,,구로구,서울특별시 구로구 새말로9길 45 (신도림현대아파트),미참여,
264,작은 도서관,신림동굴렁쇠작은도서관,"평일 : 10:00~20:00, 주말 : 휴관일","토,일요일",02-877-2727,http://lib.gwanak.go.kr/menu/subpage_01/sub03.php,관악구,서울특별시 관악구 신림동길 14 신림동주민센터 2층,미참여,
251,작은 도서관,신림푸르지오도서관,"평일 : 10:00~18:00, 주말 : 10:00~18:00","토요일,일요일,공휴일",02-830-1554,해당없음,관악구,서울특별시 관악구 남부순환로 1430 신림푸르지오아파트,미참여,
119,작은 도서관,신사동작은도서관,평일 : 10:00~17:00,"토,일요일, 법정공휴일",02-3423-7334,https://library.gangnam.go.kr/small,강남구,서울특별시 강남구 압구정로 128 신사동주민센터,참여,
265,작은 도서관,신사동해오름작은도서관,"평일 : 10:00~20:00, 주말 : 휴관일","토,일요일",02-853-7336,http://lib.gwanak.go.kr/menu/subpage_01/sub03.php,관악구,서울특별시 관악구 조원로 151-1 신사경로당 3층,미참여,
758,작은 도서관,신사어린이도서관,"평일 : 09:00~18:00, 주말 : 09:00~14:00","일요일, 법정공휴일",070-4757-7026,http://www.eplib.or.kr/,은평구,서울특별시 은평구 은평로 38 신사종합사회복지관 26-18,참여,
456,작은 도서관,신상도문고,"평일 : 월~금 : 12:00~20:00, 주말 : 토 : 12:00~17:00",일요일,02-826-7712,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 양녕로20길 108 신상도교회 3층,미참여,
479,작은 도서관,신수동문고,"평일 : 09:00~17:00, 주말 : 휴관일","토,일요일, 공휴일",02-3153-6680,http://lib.mapo.go.kr/,마포구,서울특별시 마포구 독막로 192 신수동주민센터,미참여,
271,작은 도서관,신원동울타리작은도서관,"평일 : 10:00~20:00, 주말 : 휴관일","토,일요일",02-839-1547,http://lib.gwanak.go.kr/menu/subpage_01/sub03.php,관악구,서울특별시 관악구 신원로3길 13 신원동주민센터2층 2층,미참여,
661,작은 도서관,신월7동도서방,"평일 : 09:00~18:00, 주말 : 09:00~12:00","일요일,공휴일",02-2698-8338,http://lib.yangcheon.or.kr/,양천구,서울특별시 양천구 남부순환로70길 16-3 신월7동주민센터 남부순환로 70길 16-3,참여,2021-01-14
56,공공 도서관,신월음악도서관,"평일 : 09:00~22:00, 주말 : 09:00~18:00","매주 월요일, 법정공휴일",02-2065-1260~4,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 오목로5길 34,참여,
1372,작은 도서관,신일도서관,"평일 : 12:00~18:00, 주말 : 12:00~18:00","월요일,일요일",02-6407-6355,,중랑구,서울특별시 중랑구 상봉로20길 77 신일교회 1층,미참여,
662,작은 도서관,신정1동그린나래작은도서관,"평일 : 10:00~18:00, 주말 : 09:00~13:00","일요일, 법정공휴일",02-2084-5387,http://lib.yangcheon.or.kr/,양천구,서울특별시 양천구 중앙로32길 1 신정1동주민센터 중앙로 32길 1,참여,2021-01-14
667,작은 도서관,신정6동도서방,평일 : 09:00~18:00,"토,일요일 및 공휴일",02-2620-4303,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 목동서로 353 목동서로 353,참여,2021-01-14
668,작은 도서관,신정7동도서방,"토,일요일 및 공휴일",일요일 및 공휴일,02-2620-4327,http://lib.yangcheon.go.kr/,양천구,서울특별시 양천구 목동동로 37 목동동로 37,참여,2021-01-14
1450,작은 도서관,신창영어작은도서관,"평일 : 10:00~17:00, 주말 : 10:00~17:00",월요일,02-993-9851,http://www.unilib.dobong.kr/,도봉구,서울특별시 도봉구 덕릉로 249 3층,미참여,
73,장애인 도서관,실로암점자도서관,"평일 : 09:00~18:00, 주말 : 휴관일","매주 토,일요일",02-880-0500,http://www.silwel.or.kr,관악구,서울특별시 관악구 남부순환로 1717,미참여,
385,작은 도서관,쌍문1동작은도서관,"평일 : 10:00~13:00, 14:00~17:00, 주말 : 휴관일",매주토요일및일요일 휴일,02-2091-5900,http://www.unilib.dobong.kr/,도봉구,"서울특별시 도봉구 노해로 147, 쌍문1동주민센터 2층",참여,
386,작은 도서관,쌍문2동작은도서관,"평일 : 10:00~13:00, 14:00~17:00, 주말 : 휴관일",매주토요일및일요일 휴일,02-2091-5901,http://www.unilib.dobong.kr/,도봉구,"서울특별시 도봉구 방학로3길 117, 쌍문2동주민센터 7층",참여,
387,작은 도서관,쌍문3동작은도서관,"평일 : 10:00~13:00, 14:00~17:00, 주말 : 휴관일",매주토요일및일요일 휴일,02-2091-5902,http://www.unilib.dobong.kr/,도봉구,"서울특별시 도봉구 노해로44길 9, 쌍문3동주민센터 2층",참여,
388,작은 도서관,쌍문4동작은도서관,"평일 : 10:00~13:00, 14:00~17:00, 주말 : 휴관일",매주토요일및일요일 휴일,02-2091-5903,http://www.unilib.dobong.kr/,도봉구,"서울특별시 도봉구 시루봉로 62-7, 쌍문4동 주민센터 2층",참여,
2174,작은 도서관,쌍문채움도서관,"평일 : 09:00~20:00, 주말 : 09:00~17:00",매주월요일및법정공휴일,02-998-0910,http://www.unilib.dobong.kr/,도봉구,서울특별시 도봉구 우이천로 340,참여,
1665,작은 도서관,쌍용도서관,"평일 : 10:00~17:00, 주말 : 10:00~17:00",법정공휴일,,,영등포구,서울특별시 영등포구 도영로7길 15 쌍용플레티넘시티 104동 2층,미참여,
1627,작은 도서관,쎌북작은도서관,"평일 : 12:30~17:30, 주말 : 11:00~15:30","월요일, 공휴일",02-334-6080,없음,마포구,서울특별시 마포구 신촌로 12길 11 신촌성결교회,미참여,
1639,작은 도서관,씨넷도서관,"화, 수, 금 : 10:00~17:00, 일 : 10:00~16:00","월, 목, 토",,,서초구,서울특별시 서초구 남부순환로 333길 36 해원빌딩 지하1층,미참여,
2752,공공 도서관,씨드 작은도서관,,,,,서초구,서울특별시 서초구 바우뫼로7길 16 (우면동 66-1) 대화프라자 704호,미참여,
406,작은 도서관,씨앗작은도서관,"평일 : 10:00~17:00, 주말 : 10:00~15:00","일요일,공휴일",02-954-0045,http://www.unilib.dobong.kr/,도봉구,서울특별시 도봉구 도봉로 901 부성빌딩 402호,미참여,
1588,작은 도서관,씽크엘작은도서관,"평일 : 10:00~19:00, 주말 : 10:00~19:00","월요일,일요일",02-981-4620,http://thinkel.modoo.at/,강북구,"서울특별시 강북구 삼양로 54길 92 2층,3층,4층",미참여,
2705,작은 도서관,아낌없이주는나무,"평일,토 : 10:00~17:00","일요일,공휴일",02-312-5907,http://,서대문구,서울특별시 서대문구 독립문로12길17 서은교회 1층,미참여,2021-02-09
2688,작은 도서관,아띠작은도서관,"화~금 : 12:00~16:00, 토요일 : 10:00~18:00, 일요일 : 14:00~20:00",월요일,,,성북구,서울특별시 성북구 서경로 63 2층,미참여,2021-08-28
147,작은 도서관,아람작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토·일·공휴일, 매월 마지막 주 화요일","02-475-9948, 070-8151-9718",http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 양재대로84길 31, 2층 (둔촌동)",참여,
1390,공공 도서관,아름꿈도서관,"평일 : 10:00~19:00, 주말 : 10:00~19:00","매주 일요일, 1월1일, 설연휴, 추석연휴",02-2237-6644,http://lib.jongno.go.kr/,종로구,서울특별시 종로구 종로58가길 19,참여,
1551,작은 도서관,아름다운꿈작은도서관,"평일 : 10:00~22:00, 주말 : 10:00~22:00",일요일,02-3402-1357,cafe.naver.com/bdhbd,송파구,서울특별시 송파구 마천로 305 3층 3층,미참여,
1307,작은 도서관,아름다운도서관,"평일 : 11:00~18:00, 주말 : 휴관일","토요일,일요일",02-904-2642,http://www.unilib.dobong.kr/,도봉구,서울특별시 도봉구 도봉로104길 63 3층,미참여,
1578,작은 도서관,아름다운도서관,"평일 : , 주말 :",,02-554-0191,,강남구,서울특별시 강남구 논현로68길 5,미참여,
1288,작은 도서관,아름도서관,"평일 : 13:00~17:00, 주말 : 10:00~12:00",일요일,02-2060-1685,www.smalllibrary.org,구로구,서울특별시 구로구 부일로9길 127 온수힐스테이트,미참여,
1426,작은 도서관,아름드리작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토,일요일",02-446-1237,http://www.jeongnip.or.kr/bbs/board.php?tbl=file,광진구,서울특별시 광진구 워커힐로 93 정립회관 본관 2층,미참여,
473,작은 도서관,아름드리작은도서관,"평일 : 13:00~21:00, 주말 : 휴관일","토,일요일",02-913-9023,없음,마포구,서울특별시 성북구 길음로 13길 39 길음뉴타운아파트 본관 2층,미참여,
1081,작은 도서관,아름숲어린이문고,"평일 : 01:00~06:00, 주말 : 휴관일","토요일,일요일,공휴일",,,동대문구,"서울특별시 동대문구 전농로16길 51, 관리동 (래미안아름숲아파트) 110동 지하1층",미참여,
31,공공 도서관,아리랑도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","매월 둘째, 넷째주 월요일",02-3291-4990,https://www.sblib.seoul.kr/arlib/index.do,성북구,서울특별시 성북구 아리랑로 82,미참여,2021-08-28
2142,공공 도서관,아리랑어린이도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","매월 두 번째, 네 번째 월요일",02-3291-4992,https://www.sblib.seoul.kr/arclib/index.do,성북구,서울특별시 성북구 아리랑로 75,미참여,
182,작은 도서관,아리향기작은도서관,"평일 : 09:00~17:00, 주말 : 휴관","토요일, 일요일, 공휴일",02-2600-7326,http://lib.gangseo.seoul.kr/,강서구,서울특별시 강서구 양천로67가길 63 염창동주민센터2층,미참여,2022-06-09
1849,작은 도서관,아빠하우스작은도서관,"평일 : 화, 수, 목, 금:14:00~18:00, 주말 : 휴관일","월, 토, 일, 법정공휴일",02-486-7785,,강동구,서울특별시 강동구 아리수로93나길 60 골드프라자 505호,미참여,2021-08-28
2602,전문 도서관,아시아평화와역사교육연대 자료실,"평일 : 10:00~18:00, 주말 : 휴관일","토·일요일, 법정공휴일",02-720-4637~9,,종로구,서울특별시 종로구 혜화로 35 경주이씨화수회관 305,미참여,
492,작은 도서관,아이도북센터,"평일 : 09:00~19:00, 주말 : 09:00~16:00","일요일,공휴일",02-6371-1036,없음,마포구,서울특별시 마포구 만리재로 29 사랑의전화종합사회복지관 아이도북센터 아,미참여,
1858,작은 도서관,아이편한작은도서관,"평일 : 13:00~17:00, 주말 : 10:00~13:00","일요일, 공휴일",02-2602-9443,,강서구,서울특별시 강서구 강서로 266 우장산아이파크이편한세상,미참여,
2067,작은 도서관,아인어린이작은도서관,"평일 : 11:00~17:00, 주말 : 11:00~17:00",없음,02-2603-7200,,양천구,"서울특별시 양천구 신정로 13길 21, 3층",미참여,
2083,작은 도서관,아주좋은꿈터작은도서관,"평일 : 10:00~19:00, 주말 : 휴관일","토,일,공휴일",02-927-1270,,동대문구,서울특별시 동대문구 왕산로16가길 7,미참여,
1427,작은 도서관,아차산아래작은도서관놀자,"화~금 : 10:00~19:00, 토요일 : 12:00~18:00","월, 일요일",02-2272-2011,http://cafe.naver.com/achasanarenolja,광진구,서울특별시 광진구 자양로 50가길 45 2층 2층,미참여,2021-08-28
1980,작은 도서관,아트앤힐링작은도서관,평일 : 월~금 : 10:00~17:00,"토요일, 일요일",02-597-6630,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 상도로62길 61 지하1층,참여,
2440,작은 도서관,안디아모작은도서관,"평일 : 10:00~18:00, 주말 : 10:00~18:00","토,일,공휴일",,해당없음,관악구,서울시 관악구 관악로 12길97 2층,미참여,
145,작은 도서관,안말작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-488-2392,http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 풍성로37가길 62, (성내동) 성내2동주민센터 2층",참여,
594,작은 도서관,안암동새마을문고,"평일 : 09:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-2241-5238,http://ecovillage.egentouch.com/egentouch.web/main.do?action=main,성북구,서울특별시 성북구 고려대로 16(안암동2가) 안암동주민센터 2층,미참여,2021-08-28
120,작은 도서관,압구정동작은도서관,평일 : 09:00~18:00,"토,일요일, 법정공휴일",02-3423-7634,https://library.gangnam.go.kr/small,강남구,서울특별시 강남구 압구정로33길 48 압구정동주민센터,참여,
2485,작은 도서관,애스톤파크작은도서관,평일 : 월~금 : 13:00~17:00,"토요일, 일요일",02-827-0388,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 상도로346-2,미참여,
2140,공공 도서관,약수도서관,"평일 : 09:00~18:00, 주말 : 09:00∼17:00","매주 월요일, 법정공휴일",02-823-1907,http://lib.dongjak.go.kr,동작구,서울특별시 동작구 양녕로22바길 64(상도동),참여,
2621,작은 도서관,약수동작은도서관,"평일 : 10:00~17:00, 주말 : 10:00~14:00(토)","일,법정공휴일",02-2232-8324,www.e-junggulib.or.kr,중구,서울특별시 중구 동호로5길 19 중구 청소년수련관 1층,미참여,
2676,작은 도서관,양문작은도서관,"평일 : 화~금 : 11:00~17:00, 토~일 : 09:00~15:00",월요일,02-6238-6860,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 시흥대로646 1층,참여,2021-02-09
2486,작은 도서관,양문작은도서관,평일 : 화~토 : 11:00~17:00,"월요일, 일요일",02-834-6860,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 시흥대로646 1층,참여,2021-01-14
2144,공공 도서관,양원숲속도서관,"평일 : 09:00~18:00, 주말 : 토:09:00∼17:00, 일:10:00~17:00","매주 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(12월1일)",02-432-0710,http://www.jungnanglib.seoul.kr/ywlib/,중랑구,서울특별시 중랑구 송림길 172(망우동),참여,
2636,작은 도서관,양원역 도서관,평일 : 12:00~16:00,"수,토,일요일",,,중랑구,"서울특별시 중랑구 송림길147, 양원역사 1번출구 1층",미참여,
2735,작은 도서관,양재 너구리 도서관,월~금 : 11:00~18:00,"토, 일, 공휴일",02-6409-2018,www.historydesign.net,서초구,서울특별시 서초구 논현로 27길 58 2층,미참여,2021-08-28
532,작은 도서관,양재1동작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토, 일, 공휴일",02-2155-7895,http://public.seocholib.or.kr/docpub/,서초구,서울특별시 서초구 바우뫼로 41 양재1동우면주민센터 2층,참여,
533,작은 도서관,양재2동작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토, 일, 공휴일",02-2155-7906,http://public.seocholib.or.kr/docpub/,서초구,서울특별시 서초구 마방로6길 7-40 1층,참여,
2497,공공 도서관,양재도서관,"평일 : 09:00~22:00, 주말 : 09:00~20:00","매주 금요일, 법정 공휴일, 임시 공휴일",02-3486-4050,http://yangjae.seocholib.or.kr/docyan/,서초구,서울특별시 서초구 양재천로 33,참여,
2714,공공 도서관,양천중앙도서관,"평일 : 09:00~20:00, 주말 : 09:00~17:00","매주 금요일, 법정공휴일",02-2699-5919,http://lib.yangcheon.or.kr/,양천구,서울특별시 양천구 신정로7길 81,참여,2021-08-28
701,작은 도서관,양평1동작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-3667-9996,https://www.ydplib.or.kr/small,영등포구,서울특별시 영등포구 영등포로 11길 12 양평1동주민센터 211-1,참여,2021-08-28
702,작은 도서관,양평2동작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일,공휴일",02-2679-5252,https://www.ydplib.or.kr/small,영등포구,서울특별시 영등포구 선유로47길30 양평2동주민센터4층,참여,2021-08-28
1472,작은 도서관,어깨동무어린이도서관,"평일 : 10:00~21:00, 주말 : 10:00~18:00",일요일,02-302-3105,,서대문구,서울특별시 서대문구 거북골로 14길 32 DMC아이파크아파트 2층 458,미참여,
787,작은 도서관,어린이도서관꿈과쉼,"평일 : 10:00~17:00, 토 : 10:00~17:00, 일 : 08:00~17:00",매주 월요일,02-734-1094,http://www.samchung.or.kr/07book/01about.asp,종로구,서울특별시 종로구 삼청로 77 삼청감리교회 내 삼청교회 내,미참여,
2708,작은 도서관,어린이도서관꿈꾸는세상,평일 : 09:00~18:00,"일요일,공휴일",02-375-7179,http://cafe.daum.net/book3757179,서대문구,서울특별시 서대문구 증가로8길 76-15,미참여,2021-02-09
1430,작은 도서관,어린이도서관꿈틀,"평일 : 10:00~18:00, 주말 : 10:00~16:00",일요일,02-2243-2315,,동대문구,서울특별시 동대문구 전농로16길 59(전농동) 1층,미참여,
821,작은 도서관,어린이도서관느티나무,"평일 : 11:00~18:00, 주말 : 10:30~14:30","일,법정공휴일",02-3298-0918,http://cafe.naver.com/neuty,중구,서울특별시 중구 다산로 75 다니엘빌딩 2층,미참여,
1463,작은 도서관,어린이도서관동네북,"평일 : 13:00~18:00, 토 : 11:00~17:00 일 : 11:00~16:00",없음,070-4652-3160,cafe.naver.com/ehdspqnr2013,은평구,서울특별시 은평구 진흥로 174 양광비전센터 3층,미참여,
555,작은 도서관,어린이도서관책읽는엄마책읽는아이,"평일 : 10:00~18:00, 주말 : 휴관일","매주 토,일요일",02-2297-5935,http://cafe.naver.com/littlelibro,성동구,서울특별시 성동구 매봉18길 11(금호동3가) 마을소통공간 산책 1층,미참여,
1428,작은 도서관,어린이작은도서관주영심나무,"평일 : 13:00~18:00, 주말 : 휴관일","토,일요일",02-457-8822,,광진구,서울특별시 광진구 용마산로1길 91 101호 101호,미참여,
2603,공공 도서관,어린이청소년 국학도서관,"평일 : 10:00~22:00, 주말 : 10:00~19:00 *동절기(1,2월) 야간 미운영","매주 일요일, 1월1일, 설연휴, 추석연휴",02-747-8335~6,http://lib.jongno.go.kr,종로구,서울특별시 종로구 명륜길 26,참여,2021-08-28
923,공공 도서관,어울림도서관,"평일 : 09:00~22:00, 주말 : 09:00~22:00",매주월요일 및 법정 공휴일(일요일제외),02-2230-2901,http://www.e-junggulib.or.kr,중구,서울특별시 중구 다산로38길 66-35,미참여,
1890,작은 도서관,어울림북터작은도서관,"평일 : 11:00~18:00, 토요일 : 10:00~12:00","일, 법정공휴일",02-2051-5999,http://khapt.egentouch.com/egentouch.web/main.do?action=main,성북구,"서울특별시 성북구 동소문로34길 73(돈암동, 길음역 금호어울림 센터힐) 103동",미참여,2021-08-28
2022,작은 도서관,어울림작은도서관,"평일 : (월, 금):13:00~17:00, (화, 목):10:00~17:00, 주말 : (토)10:00~13:00, (일)13:00~17:00","수요일, 일요일, 공휴일",02-2666-9606,,강서구,"서울특별시 강서구 마곡중앙1로 72(마곡동, 마곡10단지)",미참여,
2498,작은 도서관,언남돌봄 작은도서관,월~토 : 10:00~19:00,"일, 공휴일",,,서초구,서울특별시 서초구 강남대로 10길 65 3층,미참여,
1519,작은 도서관,언니네작은도서관,"평일 : 10:00~18:00, 주말 : 10:00~18:00","월요일, 일요일",02-715-6210,http://cafe.naver.com/seoulwomen,영등포구,서울특별시 영등포구 대림로35길 13 2층 미루빌딩 4층,미참여,
1289,작은 도서관,에델도서관,"평일 : 10:00~18:00, 주말 : 휴관일","토요일, 일요일",02-2688-6109,www.smalllibrary.org,구로구,서울특별시 구로구 천왕로 47 에델마을 복지회관,미참여,
2604,작은 도서관,에듀 NGO 작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","매주 토요일, 일요일, 공휴일",02-742-8727,https://www.smalllibrary.org/library/detail/1971219,종로구,서울특별시 종로구 대학로 19 (연지동) 704호,미참여,
1666,작은 도서관,에듀까페맘작은도서관,"평일 : 10:00~18:00, 주말 : 10:00~18:00",법정공휴일,,,영등포구,서울특별시 영등포구 대방천로 140-1 신길동,미참여,
2064,작은 도서관,에듀카페맘,"평일 : 10:00~18:00, 주말 : 10:00~18:00",없음,02-792-7937,,양천구,"서울특별시 양천구 월정로48길 15-2 1,2층",미참여,
2712,작은 도서관,에듀카페맘작은도서관,"화, 목요일 10:00~18:00","월, 수, 금, 주말 및 공휴일",02-792-7933,http://blog.daum.net/edu-cafe/,양천구,서울특별시 양천구 월정로48길 15-2,미참여,2021-02-09
2681,작은 도서관,에듀카페맘작은도서관,"화, 목요일 10:00~18:00","월, 수, 금, 주말 및 공휴일",02-792-7933,http://blog.daum.net/edu-cafe/,마포구,서울시 마포구 성미산로17길 92-1(연남동) 지층,미참여,2021-02-09
2637,작은 도서관,에셀나무 작은도서관,"평일 : 12:00~20:00, 주말 : 12:00~20:00","월,일요일",,,중랑구,서울특별시 중랑구 망우로30길 30,미참여,2021-08-28
2499,작은 도서관,에코리치작은도서관,월~일 : 09:00~22:00,법정공휴일,02-2058-1820,,서초구,서울특별시 서초구 양재대로2길 109 103동 지하1층,미참여,
2655,작은 도서관,엘림작은도서관,평일 : 10:00~17:00,"토, 일, 법정공휴일",,,강동구,서울특별시 강동구 천호대로 1095(천호동) 511호,미참여,2021-02-09
2538,작은 도서관,엘벧엘 T.C.S. 작은도서관,평일:09:00~17:00,"토,일,공휴일",02-2606-7591,,양천구,서울특별시 양천구 지양로2길 30,미참여,2021-01-14
1804,전문 도서관,여성가족부자료실,"평일 : 09:00~12:00, 13:00~18:00, 주말 : 휴관일","토·일요일, 법정공휴일",02-2100-6057,http://www.mogef.go.kr/io/lib/lib_s400.do?mid=libm400,종로구,서울특별시 종로구 세종대로 209,미참여,
696,작은 도서관,여의동작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-784-2268,https://www.ydplib.or.kr/small,영등포구,서울특별시 영등포구 국제금융로 124 여의동주민센터 3층,참여,2021-08-28
1388,공공 도서관,여의샛강마을도서관,"평일 : 09:00~21:00, 주말 : 09:00~17:00","매주 월요일,『관공서의 공휴일에 관한 규정』이 정하는 공휴일, 단 일요일 제외",02-2629-2222,http://www.yulib.or.kr,영등포구,서울특별시 영등포구 여의대로 24 전국경제인연합회 후생복지동,참여,2021-08-28
737,작은 도서관,역마루작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","매주 토요일, 일요일",02-351-5329,https://library.eunpyeong.seoul.kr/usweb/opt4/index.asp,은평구,서울특별시 은평구 연서로 59(역촌동주민센터) 역촌동 주민센터,참여,
190,작은 도서관,역마을작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 공휴일",02-2600-7660,http://lib.gangseo.seoul.kr/,강서구,서울특별시 강서구 화곡로 312 화곡6동주민센터 2층,미참여,2021-08-28
117,작은 도서관,역삼2동작은도서관,"평일 : 09:00~18:00, 토요일 : 09:00~17:00","일요일, 법정공휴일",02-567-0930,https://library.gangnam.go.kr/ys2lib/index.do,강남구,서울특별시 강남구 언주로 314 강남프라자 2층,참여,
81,공공 도서관,역삼도서관,"평일 : 06:00~22:00, 주말 : 06:00~22:00",매주 월요일 및 법정 공휴일,02-508-1139,http://yslib.gangnam.go.kr/,강남구,서울특별시 강남구 역삼로7길 16,참여,2021-08-28
484,작은 도서관,연남동문고,"평일 : 09:00~17:00, 주말 : 휴관일","토,일요일, 공휴일",02-3153-6875,http://lib.mapo.go.kr/,마포구,서울특별시 마포구 성미산로29길 17-9 연남동주민센터,미참여,
2550,작은 도서관,연세 작은도서관,"평일 : 10:00~18:00, 주말 : 휴관일","토,일요일",02-2695-9191,,양천구,서울특별시 양천구 오목로 64-3(신월동) 2층,미참여,
1505,작은 도서관,연지타운1단지작은도서관,"평일 : 13:00~17:00, 주말 : 10:00~12:00",일요일,02-2613-9886,www.smalllibrary.org,구로구,서울특별시 구로구 오류로 30 천왕연지타운1단지 103동 1층 103동 1층,미참여,
496,작은 도서관,연희동아이누리작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~17:00","일요일, 공휴일",02-330-8775,lib.sdm.or.kr,서대문구,"서울특별시 서대문구 증가로 13-10, 자치회관 연희동자치회관 2층",참여,
2706,작은 도서관,연희파크푸르지오작은도서관,평일 : 09:00~18:00,"일요일,공휴일",02-336-1185,,서대문구,서울특별시 서대문구 홍제천로136 UZ센터,미참여,2021-02-09
2717,공공 도서관,열린도서관,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,02-3412-3970,https://library.gangnam.go.kr/yllib/,강남구,서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호,참여,2021-08-28
2030,작은 도서관,열린숲작은도서관,"평일 : 10:00~19:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-2028-2361,www.smalllibrary.org,구로구,서울특별시 구로구 디지털로33길 27(구로동) 삼성IT밸리 1층(삼성아이티밸리),미참여,2021-10-20
357,작은 도서관,열린작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~13:00","일요일, 법정공휴일",02-2116-2592,www.nowonlib.kr,노원구,서울특별시 노원구 공릉로55길 88 하계2동주민센터,미참여,
